zip_code,year,population
00703,2014,28739
00703,2013,29153
00703,2012,29175
00703,2011,29189
00703,2010,28605
00704,2016,8390
00704,2015,8007
00704,2014,8100
00704,2013,7867
00704,2012,7950
00704,2011,7879
00704,2010,8577
00705,2016,24387
00705,2015,24717
00705,2014,25090
00705,2013,25373
00705,2012,25575
00705,2011,25665
00705,2010,25598
00707,2016,11506
00707,2015,11701
00707,2014,11904
00707,2013,12070
00707,2012,12201
00707,2011,12304
00707,2010,12225
00714,2016,18640
00714,2015,18988
00714,2014,19229
00714,2013,19443
00714,2012,19542
00714,2011,19601
00714,2010,19566
00715,2016,3692
00715,2015,3586
00715,2014,3714
00715,2013,4315
00715,2012,4270
00715,2011,4582
00715,2010,3656
00716,2016,29351
00716,2015,30876
00716,2014,31362
00716,2013,32180
00716,2012,32840
00716,2011,33314
00716,2010,33779
00717,2016,17958
00717,2015,17704
00717,2014,18176
00717,2013,17972
00717,2012,18615
00717,2011,18821
00717,2010,18457
00718,2016,26460
00718,2015,26547
00718,2014,26786
00718,2013,26767
00718,2012,26604
00718,2011,26429
00718,2010,26606
00719,2016,30094
00719,2015,30588
00719,2014,30772
00719,2013,30793
00719,2012,30992
00719,2011,30998
00719,2010,30990
00720,2016,22148
00720,2015,22676
00720,2014,22862
00720,2013,23080
00720,2012,23259
00720,2011,23212
00720,2010,23129
00723,2016,18135
00723,2015,18441
00723,2014,18766
00723,2013,19017
00723,2012,19225
00723,2011,19397
00723,2010,19277
00725,2016,83479
00725,2015,86276
00725,2014,88152
00725,2013,90206
00725,2012,91035
00725,2011,92339
00725,2010,89374
00727,2016,57079
00727,2015,56503
00727,2014,57036
00727,2013,56972
00727,2012,56679
00727,2011,56000
00727,2010,58382
00728,2016,41245
00728,2015,41337
00728,2014,42333
00728,2013,42692
00728,2012,43260
00728,2011,43451
00728,2010,44908
00729,2016,52897
00729,2015,53439
00729,2014,54198
00729,2013,54768
00729,2012,54914
00729,2011,54523
00729,2010,53750
00730,2016,33899
00730,2015,34965
00730,2014,36201
00730,2013,37931
00730,2012,39124
00730,2011,40412
00730,2010,35742
00731,2016,14988
00731,2015,14382
00731,2014,14320
00731,2013,14525
00731,2012,13869
00731,2011,13559
00731,2010,15524
00735,2016,12798
00735,2015,13063
00735,2014,13203
00735,2013,13495
00735,2012,13803
00735,2011,14088
00735,2010,13730
00736,2016,49841
00736,2015,50335
00736,2014,51116
00736,2013,51576
00736,2012,51689
00736,2011,51805
00736,2010,51532
00738,2016,32409
00738,2015,33205
00738,2014,33835
00738,2013,34492
00738,2012,35127
00738,2011,35077
00738,2010,34922
00739,2016,37558
00739,2015,37970
00739,2014,38424
00739,2013,38673
00739,2012,39171
00739,2011,39479
00739,2010,39678
00740,2016,1503
00740,2015,1515
00740,2014,1704
00740,2013,1760
00740,2012,1730
00740,2011,2310
00740,2010,2071
00741,2016,5042
00741,2015,5514
00741,2014,5365
00741,2013,5025
00741,2012,5189
00741,2011,5211
00741,2010,4971
00745,2016,53395
00745,2015,53797
00745,2014,54253
00745,2013,54681
00745,2012,54984
00745,2011,55315
00745,2010,55062
00751,2016,22110
00751,2015,22777
00751,2014,23020
00751,2013,23430
00751,2012,23203
00751,2011,23467
00751,2010,23129
00754,2016,39218
00754,2015,39651
